,Reaction,Value,Number
0,e + CH5^+ => CH3 + H + H,2.57d-07 * (300./Tgas)**0.3,
1,e + CH5^+ => CH2 + H2 + H,6.61d-08 * (300./Tgas)**0.3,
2,e + CH4^+ => CH3 + H,1.18d-08 * (300./Tgas)**0.5,
3,e + CH4^+ => CH2 + H + H,2.42d-08 * (300./Tgas)**0.5,
4,e + CH4^+ => CH + H2 + H,1.41d-08 * (300./Tgas)**0.5,
5,e + CH3^+ => CH2 + H,2.25d-08 * (300./Tgas)**0.5,
6,e + CH3^+ => CH + H2,7.88d-09 * (300./Tgas)**0.5,
7,e + CH2^+ => CH + H,1.00d-08 * (300./Tgas)**0.5,
8,e + C2H6^+ => C2H5 + H,2.19d-08 * (300./Tgas)**0.71,
9,e + C2H6^+ => C2H4 + H + H,3.36d-08 * (300./Tgas)**0.71,
10,e + C2H5^+ => C2H4 + H,7.70d-09 * (300./Tgas)**0.71,
11,e + C2H5^+ => C2H3 + H + H,1.92d-08 * (300./Tgas)**0.71,
12,e + C2H5^+ => C2H2 + H2 + H,1.60d-08 * (300./Tgas)**0.71,
13,e + C2H5^+ => C2H2 + H + H + H,8.98d-09 * (300./Tgas)**0.71,
14,e + C2H5^+ => CH3 + CH2,9.62d-09 * (300./Tgas)**0.71,
15,e + C2H4^+ => C2H3 + H,8.29d-09 * (300./Tgas)**0.71,
16,e + C2H4^+ => C2H2 + H + H,3.43d-08 * (300./Tgas)**0.71,
17,e + C2H3^+ => C2H2 + H,1.34d-08 * (300./Tgas)**0.71,
18,e + C2H2^+ => CH + CH,4.87d-09 * (300./Tgas)**0.71,
19,e + H2^+ => H + H,3.17d21/(6.022d23 * Te**4.5),
20,e + H3^+ => H + H2,3.17d21/(6.022d23 * Te**4.5),
21,H2 + H2^+ => H + H3^+,2.11d-09,
22,CH2 + CH5^+ => CH4 + CH3^+,9.60d-10,42
23,CH + CH5^+ => CH4 + CH2^+,6.90d-10,42
24,C2H6 + CH5^+ => CH4 + H2 + C2H5^+,2.25d-10,43
25,C2H4 + CH5^+ => CH4 + C2H5^+,1.50d-9,42
26,C2H2 + CH5^+ => CH4 + C2H3^+,1.60d-9,42
27,H + CH5^+ => H2 + CH4^+,1.50d-10,42
28,CH4 + CH4^+ => CH3 + CH5^+,1.50d-9,42
29,C2H6 + CH4^+ => CH4 + H2 + C2H4^+,1.91d-9,43
30,C2H4 + CH4^+ => CH3 + C2H5^+,4.23d-10,42
31,C2H4 + CH4^+ => CH4 + C2H4^+,1.38d-9,42
32,C2H2 + CH4^+ => CH3 + C2H3^+,1.23d-9,42
33,C2H2 + CH4^+ => CH4 + C2H2^+,1.13d-9,42
34,H2 + CH4^+ => H + CH5^+,3.30d-11,42
35,H + CH4^+ => H2 + CH3^+,1.00d-11,42
36,CH4 + CH3^+ => CH3 + CH4^+,1.36d-10,44
37,CH4 + CH3^+ => H2 + C2H5^+,1.20d-9,42
38,CH2 + CH3^+ => H2 + C2H3^+,9.90d-10,42
39,CH + CH3^+ => H2 + C2H2^+,7.10d-10,42
40,C2H6 + CH3^+ => CH4 + C2H5^+,1.48d-9,42
41,C2H4 + CH3^+ => CH4 + C2H3^+,3.50d-10,42
42,C2H3 + CH3^+ => CH3 + C2H3^+,3.00d-10,42
43,CH4 + CH2^+ => CH3 + CH3^+,1.38d-10,45
44,CH4 + CH2^+ => H + C2H5^+,3.60d-10,42
45,CH4 + CH2^+ => H2 + C2H4^+,8.40d-10,42
